ame,roomTypeName,city,address,pricePerNight,maxGuests,description,amenities,imageUrl1,imageUrl2,imageUrl3
Phong don view bien Da Nang,Phong don,Da Nang,"12 Vo Nguyen Giap, My An, Ngu Hanh Son",850000,2,"Phong don thoang mat, view bien truc tiep, day du tien nghi co ban. Gan bien My Khe chi 50m.","WiFi mien phi, Dieu hoa, TV man hinh phang, Tu lanh, Bon tam",https://images.unsplash.com/photo-1631049307264-da0ec9d70304?w=800,https://images.unsplash.com/photo-1566665797739-1674de7a421a?w=800,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800
Phong Deluxe Bien My Khe,Deluxe,Da Nang,"45 Truong Sa, Hoa Hai, Ngu Hanh Son",1500000,3,"Phong Deluxe sang trong voi ban cong nhin thang ra bien My Khe. Thiet ke hien dai do noi that cao cap.","WiFi mien phi, Dieu hoa, TV 50 inch, Tu lanh, Bon tam, Ban cong view bien, Minibar",https://images.unsplash.com/photo-1618773928121-c32242e63f39?w=800,https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800,
Nha nguyen can Hoi An pho co,Nha nguyen can,Hoi An,"78 Nguyen Thai Hoc, Phuong Minh An",2200000,6,"Nha nguyen can 3 phong ngu nam ngay pho co Hoi An thiet ke truyen thong Viet Nam ket hop tien nghi hien dai.","WiFi mien phi, Dieu hoa, Bep day du, May giat, San vuon rieng, Cho do xe, TV",https://images.unsplash.com/photo-1549294413-26f195200c16?w=800,https://images.unsplash.com/photo-1584132967334-10e028bd69f7?w=800,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=800
Can ho studio Ha Noi trung tam,Standard,Ha Noi,"15 Ly Thuong Kiet, Hoan Kiem",700000,2,"Studio hien dai sach se ngay trung tam Ha Noi. Gan ho Hoan Kiem pho co va nhieu nha hang noi tieng.","WiFi mien phi, Dieu hoa, TV, Tu lanh, Am dun nuoc, Ban lam viec",https://images.unsplash.com/photo-1631049552057-403cdb8f0658?w=800,,
Villa ven ho Da Lat,Villa,Da Lat,"123 Ho Xuan Huong, Phuong 1",3500000,8,"Villa 4 phong ngu view ho Xuan Huong tuyet dep. Co ho boi rieng san vuon rong phu hop cho gia dinh hoac nhom ban.","WiFi mien phi, Dieu hoa, Ho boi rieng, Bep day du, BBQ, Cho do xe, May giat, Smart TV",https://images.unsplash.com/photo-1613977257363-707ba9348227?w=800,https://images.unsplash.com/photo-1416331108676-a22ccb276e35?w=800,https://images.unsplash.com/photo-1596394516093-501ba68a0ba6?w=800
Phong Family Nha Trang,Family Room,Nha Trang,"88 Tran Phu, Vinh Nguyen",1800000,5,"Phong gia dinh rong rai 2 giuong doi + 1 giuong don nhin ra bien Nha Trang. Tang 8 view tuyet dep.","WiFi mien phi, Dieu hoa, TV, Tu lanh, Minibar, View bien, Ban cong",https://images.unsplash.com/photo-1591088398332-8596b4c8c4d2?w=800,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800,
Penthouse Sai Gon Sky View,Penthouse,Ho Chi Minh,"1 Le Duan, Ben Nghe, Quan 1",5500000,4,"Penthouse tang thuong cao cap nhat view toan canh TP.HCM. 2 phong ngu phong khach rong bep rieng.","WiFi toc do cao, Dieu hoa trung tam, Smart TV 65 inch, Bep day du, May giat say, San thuong rieng, Ham de xe",https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800,https://images.unsplash.com/photo-1560448204-603b3fc33ddc?w=800
Nha nguyen can Ngo Yen Tinh HN,Nha nguyen can,Ha Noi,"29 Ngo Yen Tinh, Cau Giay",2900000,6,"Nha nguyen can 4 tang 3 phong ngu gan Keangnam va nhieu trung tam thuong mai. Thiet ke hien dai moi xay.","WiFi mien phi, Dieu hoa, Bep day du, May giat, Cho do xe, Smart TV, Camera an ninh",https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=800,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,
Phong Deluxe Ho Chi Minh Q1,Deluxe,Ho Chi Minh,"200 Nguyen Thi Minh Khai, Quan 3",1200000,2,"Phong Deluxe tien nghi tai trung tam Quan 3 gan nhieu nha hang cafe va diem vui choi. Tang cao thoang mat.","WiFi mien phi, Dieu hoa, TV man hinh phang, Tu lanh, Bon tam, Dich vu don phong hang ngay",https://images.unsplash.com/photo-1611892440504-42a792e24d32?w=800,,
Can ho Standard Da Lat ngan hoa,Standard,Da Lat,"56 Phan Dinh Phung, Phuong 2",650000,2,"Can ho nho gon am ap giua thanh pho ngan hoa. Trang bi lo suoi chan am phu hop mua lanh Da Lat.","WiFi mien phi, Dieu hoa + Lo suoi, TV, Tu lanh, Am dun nuoc, Chan am",https://images.unsplash.com/photo-1631049307264-da0ec9d70304?w=800,https://images.unsplash.com/photo-1587985064135-0366536eab42?w=800,
